,Quarter,Tm,Detail,CIN,RAM
0,1.0,Rams,Willie Ellison 1 yard rush (David Ray kick),0,7
1,2.0,Rams,David Ray 37 yard field goal,0,10
2,3.0,Rams,"Safety, Craig tackled by Sweet in end zone",0,12
3,3.0,Bengals,Bob Trumpy 25 yard pass from Virgil Carter (Horst Muhlmann kick),7,12
4,3.0,Bengals,Horst Muhlmann 25 yard field goal,10,12
5,4.0,Bengals,"Safety, Gabriel tackled by White in end zone",12,12
6,4.0,Rams,David Ray 32 yard field goal,12,15
