,Quarter,Tm,Detail,NWE,GNB
0,1.0,Patriots,Russ Francis 27 yard pass from Steve Grogan (John Smith kick),7,0
1,1.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),7,7
2,2.0,Packers,Aundra Thompson 15 yard pass from David Whitehurst (Chester Marcol kick),7,14
3,2.0,Packers,Terdell Middleton 1 yard rush,7,20
4,2.0,Patriots,Russ Francis 6 yard pass from Steve Grogan (John Smith kick),14,20
5,3.0,Packers,David Whitehurst 4 yard rush (Chester Marcol kick),14,27
