,Quarter,Tm,Detail,PIT,MIA
0,1.0,Dolphins,Tony Nathan 1 yard rush (Fuad Reveiz kick),0,7
1,2.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),7,7
2,2.0,Steelers,Gary Anderson 48 yard field goal,10,7
3,2.0,Dolphins,Dan Johnson 2 yard pass from Dan Marino (Fuad Reveiz kick),10,14
4,2.0,Steelers,Weegie Thompson 1 yard pass from Mark Malone (Gary Anderson kick),17,14
5,3.0,Dolphins,Fuad Reveiz 35 yard field goal,17,17
6,4.0,Steelers,Gary Anderson 33 yard field goal,20,17
7,4.0,Dolphins,Lorenzo Hampton 2 yard rush (Fuad Reveiz kick),20,24
