,Quarter,Tm,Detail,BUF,SDG
0,1.0,Chargers,Rolf Benirschke 22 yard field goal,0,3
1,2.0,Bills,Roosevelt Leaks 1 yard rush (Nick Mike-Mayer kick),7,3
2,2.0,Bills,Frank Lewis 9 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,3
3,3.0,Chargers,Charlie Joiner 9 yard pass from Dan Fouts (Rolf Benirschke kick),14,10
4,4.0,Chargers,Rolf Benirschke 22 yard field goal,14,13
5,4.0,Chargers,Ron Smith 50 yard pass from Dan Fouts (Rolf Benirschke kick),14,20
