,Quarter,Time,Tm,Detail,CLE,NYJ
0,1.0,10:30,Browns,Austin Seibert 23 yard field goal,3,0
1,1.0,6:19,Browns,Austin Seibert 48 yard field goal,6,0
2,2.0,10:23,Browns,Nick Chubb 19 yard rush (Austin Seibert kick),13,0
3,2.0,3:00,Jets,Sam Ficken 46 yard field goal,13,3
4,2.0,0:05,Browns,Austin Seibert 43 yard field goal,16,3
5,3.0,3:43,Browns,Odell Beckham Jr. 89 yard pass from Baker Mayfield (Austin Seibert kick),23,3
