,Quarter,Tm,Detail,PIT,PHO
0,1.0,Cardinals,Robert Awalt 32 yard pass from Neil Lomax (Al Del Greco kick),0,7
1,1.0,Steelers,Rod Woodson 92 yard kickoff return (Gary Anderson kick),7,7
2,2.0,Cardinals,Al Del Greco 19 yard field goal,7,10
3,2.0,Cardinals,Tony Jordan 1 yard rush (Al Del Greco kick),7,17
4,2.0,Cardinals,J.T. Smith 3 yard pass from Neil Lomax (Al Del Greco kick),7,24
5,3.0,Cardinals,J.T. Smith 13 yard pass from Neil Lomax (Al Del Greco kick),7,31
6,4.0,Steelers,Merril Hoge 12 yard pass from Steve Bono (Gary Anderson kick),14,31
