,Quarter,Tm,Detail,NWE,DEN
0,1.0,Broncos,Vance Johnson 21 yard pass from John Elway (David Treadwell kick),0,7
1,1.0,Broncos,David Treadwell 20 yard field goal,0,10
2,2.0,Broncos,Greg Lewis 12 yard rush (David Treadwell kick),0,17
3,3.0,Patriots,Charlie Baumann 23 yard field goal,3,17
4,3.0,Broncos,David Treadwell 24 yard field goal,3,20
