,Quarter,Tm,Detail,DAL,PIT
0,1,Cowboys,Mike Clark 32 yard field goal,3,0
1,2,Cowboys,Craig Morton 12 yard rush (Mike Clark kick),10,0
2,4,Steelers,Jon Henderson 29 yard pass from Dick Shiner (Gene Mingo kick),10,7
