,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Bob Snyder 14 yard field goal,0,3
1,1.0,Giants,George Franck 31 yard pass from Tuffy Leemans,6,3
2,2.0,Bears,Bob Snyder 39 yard field goal,6,6
3,2.0,Bears,Bob Snyder 37 yard field goal,6,9
4,3.0,Giants,Ward Cuff 16 yard field goal,9,9
5,3.0,Bears,Norm Standlee 2 yard rush (Bob Snyder kick),9,16
6,3.0,Bears,Norm Standlee 7 yard rush (Joe Maniaci kick),9,23
7,4.0,Bears,George McAfee 5 yard rush (Lee Artoe kick),9,30
8,4.0,Bears,Ken Kavanaugh 42 yard fumble return (Ray McLean kick),9,37
