,Quarter,Tm,Detail,MIN,GNB
0,1.0,Vikings,Rick Danmeier 19 yard field goal,3,0
1,2.0,Packers,Terdell Middleton 1 yard rush (Chester Marcol kick),3,7
2,4.0,Packers,Chester Marcol 19 yard field goal,3,10
3,4.0,Vikings,Ahmad Rashad 5 yard pass from Fran Tarkenton (Rick Danmeier kick),10,10
