,Quarter,Tm,Detail,BUF,PIT
0,1.0,Steelers,Roy Gerela 21 yard field goal,0,3
1,1.0,Bills,Paul Seymour 22 yard pass from Joe Ferguson (John Leypoldt kick),7,3
2,2.0,Steelers,Rocky Bleier 27 yard pass from Terry Bradshaw,7,9
3,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),7,16
4,2.0,Steelers,Franco Harris 4 yard rush,7,22
5,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),7,29
6,3.0,Bills,O.J. Simpson 3 yard pass from Joe Ferguson (John Leypoldt kick),14,29
7,4.0,Steelers,Roy Gerela 22 yard field goal,14,32
