,Quarter,Tm,Detail,PIT,TAM
0,1.0,Steelers,Matt Bahr 48 yard field goal,3,0
1,1.0,Steelers,Dirt Winston special teams fumble recovery in end zone (Matt Bahr kick),10,0
2,1.0,Buccaneers,Kevin House 26 yard pass from Doug Williams (Garo Yepremian kick),10,7
3,2.0,Steelers,Sidney Thornton 1 yard rush (Matt Bahr kick),17,7
4,2.0,Buccaneers,Jimmie Giles 12 yard pass from Doug Williams (Garo Yepremian kick),17,14
5,2.0,Steelers,Lynn Swann 20 yard pass from Terry Bradshaw (Matt Bahr kick),24,14
6,3.0,Buccaneers,Ricky Bell 8 yard pass from Doug Williams (Garo Yepremian kick),24,21
