,Quarter,Tm,Detail,NOR,ATL
0,2,Falcons,Mike Pritchard 14 yard pass from Chris Miller (Norm Johnson kick),0,7
1,3,Saints,Quinn Early 11 yard pass from Bobby Hebert (Morten Andersen kick),7,7
2,4,Saints,Morten Andersen 47 yard field goal,10,7
