,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Ed Jankowski 14 yard pass from Bob Monnett,0,6
1,2.0,Packers,Clarke Hinkle 23 yard field goal,0,9
2,2.0,Packers,Don Hutson 2 yard pass from Arnie Herber (Clarke Hinkle kick),0,16
3,4.0,Packers,Bernie Scherer 78 yard pass from Arnie Herber (Tiny Engebretsen kick),0,23
4,4.0,Packers,Buckets Goldenberg 27 yard interception return (Tiny Engebretsen kick),0,30
5,4.0,Eagles,Joe Carter 86 yard pass from Rabbit Keen (Hank Reese kick),7,30
6,4.0,Packers,Don Hutson 34 yard pass from Arnie Herber (Tiny Engebretsen kick),7,37
