,Quarter,Tm,Detail,CHI,WAS
0,2.0,Redskins,Larry Brown 1 yard rush (Mike Bragg kick),0,7
1,2.0,Redskins,Larry Brown 4 yard rush (Mike Bragg kick),0,14
2,2.0,Redskins,Charley Taylor 11 yard pass from Sonny Jurgensen (Mike Bragg kick),0,21
3,3.0,Redskins,Charley Taylor 13 yard pass from Joe Theismann (Mike Bragg kick),0,28
4,4.0,Redskins,Duane Thomas 14 yard rush (Mike Bragg kick),0,35
5,4.0,Redskins,Charlie Evans 1 yard rush (Deacon Jones kick),0,42
