,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Wayne Morris 5 yard rush (Steve Little kick),0,7
1,1.0,Giants,Earnest Gray 10 yard pass from Phil Simms (Joe Danelo kick),7,7
2,2.0,Giants,Earnest Gray 37 yard pass from Phil Simms (Joe Danelo kick),14,7
3,2.0,Cardinals,Wayne Morris 9 yard rush (Steve Little kick),14,14
4,3.0,Giants,Joe Danelo 28 yard field goal,17,14
5,3.0,Cardinals,Ottis Anderson 24 yard rush (Steve Little kick),17,21
6,3.0,Giants,Johnny Perkins 58 yard pass from Phil Simms (Joe Danelo kick),24,21
7,3.0,Giants,Earnest Gray 42 yard pass from Phil Simms (Joe Danelo kick),31,21
8,3.0,Cardinals,Doug Marsh 7 yard pass from Jim Hart (Steve Little kick),31,28
9,4.0,Giants,Earnest Gray 20 yard pass from Phil Simms (Joe Danelo kick),38,28
10,4.0,Cardinals,Pat Tilley 42 yard pass from Jim Hart (Steve Little kick),38,35
11,4.0,Giants,Joe Danelo 33 yard field goal,41,35
