,Quarter,Time,Tm,Detail,WAS,TAM
0,2.0,5:37,Redskins,Brett Conway 28 yard field goal,3,0
1,3.0,14:41,Redskins,Brian Mitchell 100 yard kickoff return (Brett Conway kick),10,0
2,3.0,8:10,Redskins,Brett Conway 48 yard field goal,13,0
3,3.0,2:03,Buccaneers,Mike Alstott 2 yard rush (Martin Gramatica kick),13,7
4,4.0,7:29,Buccaneers,John Davis 1 yard pass from Shaun King (Martin Gramatica kick),13,14
