,Quarter,Tm,Detail,TAM,OAK
0,1.0,Raiders,Chris Bahr 51 yard field goal,0,3
1,1.0,Raiders,"Safety, Christensen blocked punt out of end zone",0,5
2,1.0,Raiders,Derrick Jensen 12 yard rush (Chris Bahr kick),0,12
3,2.0,Raiders,Chris Bahr 20 yard field goal,0,15
4,3.0,Buccaneers,Kevin House 77 yard pass from Doug Williams (Bill Capece kick),7,15
5,4.0,Buccaneers,Jimmie Giles 13 yard pass from Doug Williams,13,15
6,4.0,Buccaneers,Bill Capece 26 yard field goal,16,15
7,4.0,Raiders,Chris Bahr 44 yard field goal,16,18
