,Quarter,Tm,Detail,BAL,NYG
0,2.0,Giants,Ben Agajanian 32 yard field goal,0,3
1,3.0,Giants,Alex Webster 2 yard rush (Ben Agajanian kick),0,10
2,4.0,Giants,Ken MacAfee 28 yard pass from Charlie Conerly (Ben Agajanian kick),0,17
3,4.0,Colts,Jim Mutscheller 19 yard pass from George Shaw (Bert Rechichar kick),7,17
