,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Fred Cox 41 yard field goal,0,3
1,3.0,Vikings,Oscar Reed 20 yard rush (Fred Cox kick),0,10
2,3.0,Lions,Larry Walton 48 yard pass from Greg Landry (Errol Mann kick),7,10
3,3.0,Lions,Larry Walton 20 yard pass from Greg Landry (Errol Mann kick),14,10
4,4.0,Vikings,Fred Cox 18 yard field goal,14,13
5,4.0,Vikings,Fred Cox 23 yard field goal,14,16
