,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,8:05,Ravens,Errict Rhett 11 yard rush (Matt Stover kick),7,0
1,1.0,0:18,Browns,Phil Dawson 25 yard field goal,7,3
2,2.0,8:09,Ravens,Qadry Ismail 28 yard pass from Tony Banks (Matt Stover kick),14,3
3,2.0,0:03,Ravens,Matt Stover 28 yard field goal,17,3
4,3.0,2:50,Ravens,Errict Rhett 52 yard rush (Matt Stover kick),24,3
5,4.0,8:25,Ravens,Matt Stover 44 yard field goal,27,3
6,4.0,6:59,Ravens,Rod Woodson 66 yard interception return (Matt Stover kick),34,3
7,4.0,5:13,Browns,Terry Kirby 5 yard pass from Ty Detmer,34,9
8,4.0,2:38,Ravens,Stoney Case 20 yard rush (Matt Stover kick),41,9
