,Quarter,Time,Tm,Detail,MIN,IND
0,1.0,7:32,Colts,Marvin Harrison 4 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,1.0,3:07,Vikings,Randy Moss 42 yard pass from Daunte Culpepper (Gary Anderson kick),7,7
2,2.0,9:12,Colts,Edgerrin James 52 yard pass from Peyton Manning (Mike Vanderjagt kick),7,14
3,2.0,5:04,Vikings,Gary Anderson 31 yard field goal,10,14
4,2.0,1:19,Colts,Marvin Harrison 15 yard pass from Peyton Manning (Mike Vanderjagt kick),10,21
5,3.0,7:47,Colts,Marvin Harrison 18 yard pass from Peyton Manning (Mike Vanderjagt kick),10,28
6,4.0,9:54,Colts,Mike Vanderjagt 28 yard field goal,10,31
