,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Clarke Hinkle 49 yard pass from Bob Monnett (Clarke Hinkle kick),0,7
1,1.0,Packers,Herm Schneidman 12 yard pass from Bob Monnett (Clarke Hinkle kick),0,14
2,2.0,Rams,Johnny Drake 1 yard rush (Bob Snyder kick),7,14
3,3.0,Packers,Hank Bruder 12 yard rush (Clarke Hinkle kick),7,21
4,4.0,Packers,Joe Laws 5 yard touchdown on a lateral (Clarke Hinkle kick),7,28
5,4.0,Packers,Zud Schammel 5 yard touchdown on a lateral (Clarke Hinkle kick),7,35
