,Quarter,Tm,Detail,PIT,RAM
0,1,Rams,Parker Hall 88 yard rush (Vic Spadaccini kick),0,7
1,2,Pirates,Hugh McCullough 9 yard rush (Armand Niccolai kick),7,7
2,3,Pirates,Sam Boyd 27 yard pass from Hugh McCullough (Armand Niccolai kick),14,7
3,4,Rams,Johnny Drake 3 yard rush (Vic Spadaccini kick),14,14
