,Quarter,Tm,Detail,WAS,NWE
0,1.0,Redskins,John Riggins 13 yard rush (Mark Moseley kick),7,0
1,2.0,Redskins,Mark Moseley 19 yard field goal,10,0
2,3.0,Redskins,Mark Moseley 42 yard field goal,13,0
3,3.0,Redskins,Charlie Brown 15 yard pass from Joe Theismann (Mark Moseley kick),20,0
4,3.0,Patriots,Stephen Starring 38 yard pass from Tony Eason (Tony Franklin kick),20,7
5,3.0,Redskins,Mark Moseley 22 yard field goal,23,7
6,4.0,Patriots,Tony Franklin 22 yard field goal,23,10
7,4.0,Redskins,Mark Moseley 27 yard field goal,26,10
