,Quarter,Tm,Detail,GNB,SFO
0,2.0,49ers,Tommy Davis 21 yard field goal,0,3
1,2.0,Packers,Boyd Dowler 43 yard pass from Bart Starr (Don Chandler kick),7,3
2,3.0,Packers,Herb Adderley 13 yard interception return (Don Chandler kick),14,3
3,3.0,49ers,John David Crow 32 yard pass from John Brodie (Tommy Davis kick),14,10
4,4.0,49ers,Dave Parks 12 yard pass from John Brodie (Tommy Davis kick),14,17
5,4.0,Packers,Jim Taylor 5 yard rush (Don Chandler kick),21,17
6,4.0,Packers,Don Chandler 31 yard field goal,24,17
7,4.0,49ers,Vern Burke 27 yard pass from John Brodie (Tommy Davis kick),24,24
