,Quarter,Tm,Detail,PIT,WAS
0,1.0,Steelers,Dale Dodrill 35 yard blocked field goal return (Gary Kerkorian kick),7,0
1,1.0,Redskins,Eddie LeBaron 2 yard rush (Julie Rykovich kick),7,7
2,2.0,Steelers,Gary Kerkorian 23 yard field goal,10,7
3,2.0,Steelers,Ray Mathews 70 yard punt return (Gary Kerkorian kick),17,7
4,3.0,Steelers,Fran Rogel 1 yard rush (Gary Kerkorian kick),24,7
5,4.0,Redskins,"Safety, Finks tackled in end zone by Hennessey",24,9
6,4.0,Redskins,Hugh Taylor 40 yard pass from Eddie LeBaron (Eddie LeBaron kick),24,16
7,4.0,Redskins,Charlie Justice 13 yard pass from Eddie LeBaron (George Buksar kick),24,23
