,Quarter,Tm,Detail,NYG,CRD
0,1.0,Giants,Alex Webster 1 yard rush (Ben Agajanian kick),7,0
1,1.0,Giants,Kyle Rote 33 yard pass from Charlie Conerly (Ben Agajanian kick),14,0
2,2.0,Giants,Frank Gifford 21 yard pass from Charlie Conerly (Ben Agajanian kick),21,0
3,2.0,Cardinals,Ollie Matson 75 yard pass from Ted Marchibroda (Pat Summerall kick),21,7
4,2.0,Giants,Alex Webster 2 yard rush (Ben Agajanian kick),28,7
5,4.0,Cardinals,Gern Nagler 13 yard pass from Lamar McHan (Pat Summerall kick),28,14
6,4.0,Cardinals,Ollie Matson 62 yard pass from Lamar McHan (Pat Summerall kick),28,21
