,Quarter,Tm,Detail,HOU,CIN
0,1.0,Oilers,Curtis Duncan 3 yard pass from Warren Moon (Al Del Greco kick),7,0
1,2.0,Oilers,Gary Brown 4 yard rush (Al Del Greco kick),14,0
2,2.0,Oilers,Haywood Jeffires 21 yard pass from Warren Moon (Al Del Greco kick),21,0
3,2.0,Oilers,Haywood Jeffires 6 yard pass from Warren Moon (Al Del Greco kick),28,0
4,3.0,Oilers,Haywood Jeffires 12 yard pass from Warren Moon (Al Del Greco kick),35,0
5,3.0,Oilers,Al Del Greco 39 yard field goal,38,0
6,3.0,Bengals,Doug Pelfrey 46 yard field goal,38,3
