,Quarter,Tm,Detail,RAI,SEA
0,1.0,Raiders,Jeff Hostetler 2 yard rush (Jeff Jaeger kick),7,0
1,2.0,Seahawks,Chris Warren 6 yard rush (John Kasay kick),7,7
2,2.0,Seahawks,John Kasay 39 yard field goal,7,10
3,2.0,Raiders,Jeff Jaeger 36 yard field goal,10,10
4,2.0,Raiders,Tim Brown 33 yard pass from Jeff Hostetler (Jeff Jaeger kick),17,10
5,4.0,Seahawks,John Kasay 53 yard field goal,17,13
