,Quarter,Tm,Detail,MIN,GNB
0,2.0,Packers,Verne Lewellen 3 yard rush,0,6
1,2.0,Packers,Bo Molenda 8 yard rush,0,12
2,3.0,Packers,Johnny Blood 4 yard rush,0,18
3,4.0,Packers,Verne Lewellen interception in end zone,0,24
