,Quarter,Time,Tm,Detail,DET,NYJ
0,1,5:49,Jets,Curtis Martin 1 yard rush (John Hall kick),0,7
1,3,6:41,Lions,Jason Hanson 35 yard field goal,3,7
2,4,5:43,Lions,Jeff Hartings offensive fumble recovery in end zone (Jason Hanson kick),10,7
