,Quarter,Tm,Detail,TOR,PRV
0,2,Steam Roller,Butch Meeker 17 yard pass from Frosty Peters (Frosty Peters kick),0,7
1,4,Steam Roller,Tony Latone 2 yard rush (Frosty Peters kick),0,14
