,Quarter,Tm,Detail,TAM,DAL
0,1.0,Buccaneers,Bill Capece 26 yard field goal,3,0
1,2.0,Buccaneers,Bill Capece 27 yard field goal,6,0
2,2.0,Cowboys,Drew Pearson 9 yard pass from Danny White (Rafael Septien kick),6,7
3,3.0,Buccaneers,Bill Capece 26 yard field goal,9,7
4,3.0,Cowboys,Robert Newhouse 3 yard rush (Rafael Septien kick),9,14
