,Quarter,Tm,Detail,HOU,NYJ
0,1.0,Jets,Jim Turner 17 yard field goal,0,3
1,2.0,Oilers,Zeke Moore 51 yard interception return (Roy Gerela kick),7,3
2,2.0,Jets,Don Maynard 57 yard pass from Joe Namath (Jim Turner kick),7,10
3,2.0,Jets,Don Maynard 54 yard pass from Joe Namath (Jim Turner kick),7,17
4,3.0,Oilers,Mac Haik 15 yard pass from Pete Beathard (Roy Gerela kick),14,17
5,3.0,Jets,Jim Turner 48 yard field goal,14,20
6,3.0,Oilers,Roy Gerela 12 yard field goal,17,20
7,4.0,Jets,Jim Turner 45 yard field goal,17,23
8,4.0,Jets,Jim Turner 21 yard field goal,17,26
