,Quarter,Time,Tm,Detail,SDG,HOU
0,1.0,13:06,Texans,Arian Foster 8 yard rush (Neil Rackers kick),0,7
1,1.0,9:28,Chargers,Seyi Ajirotutu 55 yard pass from Philip Rivers (Kris Brown kick),7,7
2,1.0,4:47,Texans,Neil Rackers 27 yard field goal,7,10
3,1.0,1:08,Chargers,Randy McMichael 11 yard pass from Philip Rivers (Kris Brown kick),14,10
4,2.0,10:23,Texans,Arian Foster 2 yard rush (Neil Rackers kick),14,17
5,2.0,0:22,Texans,Neil Rackers 21 yard field goal,14,20
6,3.0,8:55,Texans,Neil Rackers 25 yard field goal,14,23
7,3.0,5:48,Chargers,Randy McMichael 12 yard pass from Philip Rivers (Kris Brown kick),21,23
8,4.0,5:17,Chargers,Seyi Ajirotutu 28 yard pass from Philip Rivers (Mike Tolbert run),29,23
