,Quarter,Tm,Detail,CRD,PIT
0,2.0,Steelers,Nick Bolkovac 21 yard field goal,0,3
1,2.0,Steelers,Ray Mathews 29 yard pass from Jim Finks (Nick Bolkovac kick),0,10
2,2.0,Cardinals,Don Stonesifer 39 yard pass from Lamar McHan (Pat Summerall kick),7,10
3,2.0,Cardinals,Ollie Matson 60 yard pass from Lamar McHan (Pat Summerall kick),14,10
4,3.0,Cardinals,Pat Summerall 34 yard field goal,17,10
5,4.0,Steelers,Ray Mathews 3 yard rush (Nick Bolkovac kick),17,17
6,4.0,Steelers,Nick Bolkovac 26 yard field goal,17,20
