,Quarter,Tm,Detail,MIA,PIT
0,2.0,Dolphins,Bruce Hardy 3 yard pass from Dan Marino (Uwe von Schamann kick),7,0
1,2.0,Dolphins,Joe Rose 34 yard pass from Dan Marino (Uwe von Schamann kick),14,0
2,2.0,Dolphins,Bob Baumhower 21 yard defensive fumble return (Uwe von Schamann kick),21,0
3,3.0,Dolphins,Uwe von Schamann 37 yard field goal,24,0
4,3.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),24,7
5,4.0,Dolphins,Woody Bennett 1 yard rush (Uwe von Schamann kick),31,7
