,Quarter,Tm,Detail,PIT,HOU
0,1.0,Oilers,Lorenzo White 1 yard rush (Teddy Garcia kick),0,7
1,2.0,Oilers,Ernest Givins 14 yard pass from Cody Carlson (Teddy Garcia kick),0,14
2,2.0,Oilers,Drew Hill 3 yard pass from Cody Carlson (Teddy Garcia kick),0,21
3,2.0,Oilers,Teddy Garcia 47 yard field goal,0,24
4,3.0,Steelers,Merril Hoge 4 yard rush (Gary Anderson kick),7,24
5,3.0,Oilers,Haywood Jeffires 53 yard pass from Cody Carlson (Teddy Garcia kick),7,31
6,4.0,Steelers,Merril Hoge 3 yard rush (Gary Anderson kick),14,31
7,4.0,Oilers,Teddy Garcia 45 yard field goal,14,34
