,Quarter,Time,Tm,Detail,KAN,MIA
0,1.0,,Dolphins,Karim Abdul-Jabbar 10 yard rush (Olindo Mare kick),0,7
1,2.0,,Chiefs,Andre Rison 16 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,7
2,2.0,,Chiefs,Tony Gonzalez 21 yard pass from Elvis Grbac (Pete Stoyanovich kick),14,7
3,2.0,,Dolphins,Bernie Parmalee 7 yard pass from Dan Marino (Olindo Mare kick),14,14
4,4.0,,Dolphins,Olindo Mare 26 yard field goal,14,17
