,Quarter,Tm,Detail,RAI,DEN
0,1.0,Raiders,Alexander Wright 11 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,0
1,1.0,Raiders,Jeff Jaeger 32 yard field goal,10,0
2,2.0,Raiders,Jeff Jaeger 49 yard field goal,13,0
3,3.0,Broncos,Jason Elam 40 yard field goal,13,3
4,4.0,Broncos,Arthur Marshall 27 yard pass from John Elway (Jason Elam kick),13,10
5,4.0,Broncos,Reggie Johnson 2 yard pass from John Elway (Jason Elam kick),13,17
6,4.0,Raiders,James Jett 74 yard pass from Jeff Hostetler (Jeff Jaeger kick),20,17
7,4.0,Broncos,Jason Elam 37 yard field goal,20,20
8,4.0,Raiders,Jeff Jaeger 53 yard field goal,23,20
