,Quarter,Time,Tm,Detail,JAX,CLE
0,1.0,,Jaguars,Cedric Tillman 6 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,1.0,,Jaguars,Mickey Washington 48 yard interception return,13,0
2,2.0,,Browns,Matt Stover 36 yard field goal,13,3
3,2.0,,Browns,Matt Stover 29 yard field goal,13,6
4,2.0,,Jaguars,Vaughn Dunbar 1 yard rush (Mike Hollis kick),20,6
5,2.0,,Browns,Rico Smith 29 yard pass from Vinny Testaverde (pass failed),20,12
6,3.0,,Browns,Matt Stover 21 yard field goal,20,15
7,4.0,,Jaguars,Mike Hollis 31 yard field goal,23,15
