,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,9:37,Colts,Adam Vinatieri 48 yard field goal,3,0
1,1.0,1:50,Colts,Ahmad Bradshaw 6 yard pass from Andrew Luck (Adam Vinatieri kick),10,0
2,2.0,12:28,Colts,Dwayne Allen 1 yard pass from Andrew Luck (Adam Vinatieri kick),17,0
3,2.0,9:08,Colts,Adam Vinatieri 43 yard field goal,20,0
4,2.0,1:10,Colts,Adam Vinatieri 25 yard field goal,23,0
5,2.0,0:28,Colts,Coby Fleener 7 yard pass from Andrew Luck (Adam Vinatieri kick),30,0
6,3.0,5:13,Jaguars,Josh Scobee 41 yard field goal,30,3
7,4.0,8:53,Colts,Hakeem Nicks 1 yard pass from Andrew Luck (Adam Vinatieri kick),37,3
8,4.0,6:51,Jaguars,Allen Hurns 63 yard pass from Blake Bortles (Josh Scobee kick),37,10
9,4.0,2:58,Colts,Greg Toler 47 yard interception return (Adam Vinatieri kick),44,10
10,4.0,0:18,Jaguars,Cecil Shorts 10 yard pass from Blake Bortles (Josh Scobee kick),44,17
