,Quarter,Tm,Detail,BAL,BUF
0,1.0,Bills,Reuben Gant 19 yard pass from Joe Ferguson (Tom Dempsey kick),0,7
1,1.0,Bills,Frank Lewis 28 yard pass from Joe Ferguson (Tom Dempsey kick),0,14
2,2.0,Colts,Roosevelt Leaks 17 yard pass from Bill Troup (Toni Linhart kick),7,14
3,2.0,Colts,Reese McCall 5 yard blocked punt return (Toni Linhart kick),14,14
4,2.0,Bills,Curtis Brown 102 yard kickoff return (Tom Dempsey kick),14,21
5,2.0,Bills,Tom Dempsey 21 yard field goal,14,24
6,3.0,Colts,Toni Linhart 21 yard field goal,17,24
