,Quarter,Tm,Detail,CIN,CRD
0,1.0,Reds,Lew Pope 48 yard rush (Algy Clark kick),7,0
1,2.0,Reds,"Safety, center pass into end one",9,0
2,2.0,Reds,Algy Clark 13 yard field goal,12,0
3,4.0,Cardinals,"Safety, Mooney’s punt blocked through end zone",12,2
4,4.0,Cardinals,Hal Moe 20 yard pass from Mike Koken (Mike Koken kick),12,9
