,Quarter,Time,Tm,Detail,SDG,DET
0,1.0,10:52,Lions,Brandon Pettigrew 7 yard pass from Matthew Stafford (Jason Hanson kick),0,7
1,1.0,0:33,Lions,Jason Hanson 50 yard field goal,0,10
2,2.0,7:11,Lions,Kevin Smith 3 yard pass from Matthew Stafford (Jason Hanson kick),0,17
3,2.0,0:31,Lions,Calvin Johnson 14 yard pass from Matthew Stafford (Jason Hanson kick),0,24
4,3.0,8:38,Chargers,Malcom Floyd 11 yard pass from Philip Rivers (Nick Novak kick),7,24
5,3.0,4:53,Chargers,Nick Novak 22 yard field goal,10,24
6,3.0,0:16,Lions,Kevin Smith 6 yard rush (Jason Hanson kick),10,31
7,4.0,2:28,Lions,Cliff Avril 4 yard interception return (Jason Hanson kick),10,38
