,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,,Patriots,Curtis Martin 4 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,2.0,,Patriots,Adam Vinatieri 40 yard field goal,0,10
2,2.0,,Patriots,Adam Vinatieri 32 yard field goal,0,13
3,3.0,,Bills,Steve Christie 33 yard field goal,3,13
4,3.0,,Bills,Darick Holmes 6 yard pass from Jim Kelly (Steve Christie kick),10,13
5,3.0,,Patriots,"Safety, Kelly called for intentional grounding in end zone",10,15
6,4.0,,Bills,Thurman Thomas 1 yard rush (Darick Holmes run),18,15
7,4.0,,Patriots,Curtis Martin 10 yard rush,18,21
8,4.0,,Patriots,Willie McGinest 46 yard interception return (Adam Vinatieri kick),18,28
9,4.0,,Bills,Andre Reed 48 yard pass from Jim Kelly (Steve Christie kick),25,28
