,Quarter,Tm,Detail,SDG,HOU
0,1.0,Oilers,Haywood Jeffires 3 yard pass from Warren Moon (Al Del Greco kick),0,7
1,1.0,Oilers,Al Del Greco 49 yard field goal,0,10
2,3.0,Oilers,Lorenzo White 5 yard rush (Al Del Greco kick),0,17
3,4.0,Oilers,Warren Moon 5 yard rush (Al Del Greco kick),0,24
4,4.0,Oilers,Al Del Greco 46 yard field goal,0,27
