,Quarter,Tm,Detail,PHO,RAM
0,1.0,Cardinals,Eric Hill 85 yard defensive fumble return (Greg Davis kick),7,0
1,1.0,Cardinals,Ernie Jones 28 yard pass from Tom Tupa (Greg Davis kick),14,0
2,2.0,Rams,Robert Delpino 1 yard rush (Tony Zendejas kick),14,7
3,2.0,Cardinals,Tom Tupa 1 yard rush (Greg Davis kick),21,7
4,3.0,Rams,Robert Delpino 1 yard rush (Tony Zendejas kick),21,14
5,4.0,Cardinals,Greg Davis 32 yard field goal,24,14
