,Quarter,Time,Tm,Detail,JAX,HOU
0,1.0,,Jaguars,Natrone Means 1 yard rush (Mike Hollis kick),7,0
1,2.0,,Oilers,Ronnie Harmon 23 yard pass from Steve McNair (Al Del Greco kick),7,7
2,2.0,,Jaguars,Mike Hollis 34 yard field goal,10,7
3,3.0,,Jaguars,Natrone Means 5 yard rush (Mike Hollis kick),17,7
4,4.0,,Oilers,Eddie George 6 yard rush (Al Del Greco kick),17,14
5,4.0,,Jaguars,Mike Hollis 38 yard field goal,20,14
6,4.0,,Jaguars,Mike Hollis 31 yard field goal,23,14
7,4.0,,Oilers,Al Del Greco 27 yard field goal,23,17
