,Quarter,Tm,Detail,NYG,GNB
0,1.0,Giants,Pete Gogolak 14 yard field goal,3,0
1,1.0,Packers,Donny Anderson 39 yard pass from Don Horn (Booth Lusteg kick),3,7
2,2.0,Packers,Carroll Dale 41 yard pass from Don Horn,3,13
3,2.0,Giants,Aaron Thomas 35 yard pass from Fran Tarkenton (Pete Gogolak kick),10,13
4,3.0,Packers,Travis Williams 27 yard rush (Booth Lusteg kick),10,20
