,Quarter,Tm,Detail,DEN,BUF
0,1.0,Bills,John Leypoldt 39 yard field goal,0,3
1,1.0,Bills,Jim Braxton 3 yard rush (John Leypoldt kick),0,10
2,2.0,Bills,Jim Braxton 19 yard pass from Joe Ferguson (John Leypoldt kick),0,17
3,2.0,Broncos,Floyd Little 35 yard pass from Charley Johnson (Jim Turner kick),7,17
4,2.0,Bills,J.D. Hill 16 yard pass from Joe Ferguson (John Leypoldt kick),7,24
5,3.0,Bills,O.J. Simpson 16 yard rush (John Leypoldt kick),7,31
6,3.0,Bills,Jim Braxton 4 yard rush (John Leypoldt kick),7,38
7,3.0,Broncos,Rick Upchurch 80 yard pass from John Hufnagel (Jim Turner kick),14,38
