,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Jim Ricca 25 yard fumble return (Ralph Felton kick),0,7
1,1.0,Redskins,Hugh Taylor 16 yard pass from Al Dorow,0,13
2,2.0,Redskins,Hugh Taylor 37 yard pass from Al Dorow (Ralph Felton kick),0,20
3,2.0,Redskins,Hugh Taylor 23 yard pass from Al Dorow (Ralph Felton kick),0,27
4,2.0,Cardinals,Leo Sugar 5 yard fumble return (Pat Summerall kick),7,27
5,2.0,Cardinals,Johnny Olszewski 4 yard pass from Lamar McHan,13,27
6,2.0,Redskins,Ralph Felton 23 yard field goal,13,30
7,3.0,Redskins,Charlie Justice 54 yard pass from Al Dorow (Ralph Felton kick),13,37
8,4.0,Cardinals,Steve Romanik 1 yard rush (Pat Summerall kick),20,37
