,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,10:47,Saints,Latavius Murray 26 yard rush (Wil Lutz kick),0,7
1,1.0,5:18,Saints,Tre'Quan Smith 13 yard pass from Drew Brees (Wil Lutz kick),0,14
2,1.0,3:16,Panthers,D.J. Moore 51 yard pass from Kyle Allen (Joey Slye kick failed),6,14
3,2.0,13:39,Saints,Wil Lutz 41 yard field goal,6,17
4,2.0,8:13,Panthers,Joey Slye 41 yard field goal,9,17
5,2.0,0:03,Panthers,Christian McCaffrey 1 yard pass from Kyle Allen (pass failed),15,17
6,3.0,11:24,Saints,Jared Cook 20 yard pass from Drew Brees (Wil Lutz kick),15,24
7,3.0,8:41,Panthers,Joey Slye 52 yard field goal,18,24
8,3.0,5:15,Saints,Michael Thomas 3 yard pass from Drew Brees (Wil Lutz kick),18,31
9,3.0,1:33,Panthers,Christian McCaffrey 4 yard rush (Joey Slye kick failed),24,31
10,4.0,9:28,Panthers,D.J. Moore 2 yard pass from Kyle Allen (Joey Slye kick),31,31
11,4.0,0:03,Saints,Wil Lutz 33 yard field goal,31,34
