,Quarter,Time,Tm,Detail,BAL,SEA
0,1.0,8:07,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),0,7
1,1.0,5:26,Seahawks,Stephen Hauschka 22 yard field goal,0,10
2,2.0,9:11,Ravens,Ed Dickson 1 yard pass from Ray Rice (Billy Cundiff kick),7,10
3,2.0,5:39,Seahawks,Stephen Hauschka 38 yard field goal,7,13
4,2.0,1:52,Seahawks,Stephen Hauschka 39 yard field goal,7,16
5,2.0,0:46,Seahawks,Stephen Hauschka 35 yard field goal,7,19
6,3.0,12:26,Seahawks,Stephen Hauschka 30 yard field goal,7,22
7,3.0,0:52,Ravens,Billy Cundiff 35 yard field goal,10,22
8,4.0,5:52,Ravens,Ed Dickson 11 yard pass from Joe Flacco (Billy Cundiff kick),17,22
