,Quarter,Tm,Detail,NYG,PHO
0,1.0,Giants,Matt Bahr 27 yard field goal,3,0
1,2.0,Giants,Rodney Hampton 2 yard rush (Matt Bahr kick),10,0
2,2.0,Cardinals,Terrence Flagler 11 yard pass from Timm Rosenbach (Al Del Greco kick),10,7
3,3.0,Giants,Mark Ingram 44 yard pass from Jeff Hostetler (Matt Bahr kick),17,7
4,3.0,Cardinals,Ernie Jones 68 yard pass from Timm Rosenbach (Al Del Greco kick),17,14
5,4.0,Giants,Jeff Hostetler 4 yard rush (Matt Bahr kick),24,14
6,4.0,Cardinals,Ricky Proehl 3 yard pass from Timm Rosenbach (Al Del Greco kick),24,21
