,Quarter,Tm,Detail,CIN,BAL
0,1.0,Colts,Reese McCall 20 yard pass from Bert Jones (Steve Mike-Mayer kick),0,7
1,2.0,Colts,Joe Washington 6 yard rush (Steve Mike-Mayer kick),0,14
2,2.0,Bengals,Isaac Curtis 67 yard pass from Ken Anderson (Chris Bahr kick),7,14
3,2.0,Bengals,Isaac Curtis 8 yard pass from Ken Anderson (Chris Bahr kick),14,14
4,2.0,Bengals,Deacon Turner 3 yard rush (Chris Bahr kick),21,14
5,2.0,Colts,Steve Mike-Mayer 41 yard field goal,21,17
6,3.0,Colts,Don McCauley 3 yard pass from Greg Landry (Steve Mike-Mayer kick),21,24
7,4.0,Colts,Reese McCall 10 yard pass from Greg Landry (Steve Mike-Mayer kick),21,31
8,4.0,Colts,Larry Braziel 31 yard interception return (Steve Mike-Mayer kick),21,38
9,4.0,Bengals,Isaac Curtis 43 yard pass from Ken Anderson (Chris Bahr kick),28,38
