,Quarter,Tm,Detail,KAN,SFO
0,1.0,49ers,Bruce Gossett 18 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 15 yard field goal,3,3
2,2.0,Chiefs,Otis Taylor 46 yard pass from Len Dawson (Jan Stenerud kick),10,3
3,2.0,Chiefs,Jan Stenerud 54 yard field goal,13,3
4,2.0,49ers,Ted Kwalick 35 yard pass from John Brodie (Bruce Gossett kick),13,10
5,2.0,Chiefs,Jan Stenerud 12 yard field goal,16,10
6,3.0,Chiefs,Otis Taylor 25 yard rush (Jan Stenerud kick),23,10
7,4.0,49ers,Vic Washington 3 yard rush (Bruce Gossett kick),23,17
8,4.0,Chiefs,Jan Stenerud 8 yard field goal,26,17
