,Quarter,Time,Tm,Detail,HOU,NWE
0,1.0,13:57,Texans,Shayne Graham 27 yard field goal,3,0
1,1.0,1:28,Patriots,Shane Vereen 1 yard rush (Stephen Gostkowski kick),3,7
2,2.0,10:16,Patriots,Stephen Gostkowski 37 yard field goal,3,10
3,2.0,3:38,Patriots,Shane Vereen 8 yard pass from Tom Brady (Stephen Gostkowski kick),3,17
4,2.0,1:15,Texans,Arian Foster 1 yard rush (Shayne Graham kick),10,17
5,2.0,0:00,Texans,Shayne Graham 55 yard field goal,13,17
6,3.0,11:30,Patriots,Stevan Ridley 8 yard rush (Stephen Gostkowski kick),13,24
7,3.0,1:21,Patriots,Brandon Lloyd 5 yard pass from Tom Brady (Stephen Gostkowski kick),13,31
8,4.0,13:07,Patriots,Shane Vereen 33 yard pass from Tom Brady (Stephen Gostkowski kick),13,38
9,4.0,11:35,Texans,DeVier Posey 25 yard pass from Matt Schaub (Shayne Graham kick),20,38
10,4.0,5:11,Texans,Arian Foster 1 yard pass from Matt Schaub (Andre Johnson pass from Matt Schaub),28,38
11,4.0,1:14,Patriots,Stephen Gostkowski 38 yard field goal,28,41
