,Quarter,Tm,Detail,SEA,SDG
0,1.0,Seahawks,Harold Jackson 7 yard pass from Jim Zorn (Norm Johnson kick),7,0
1,2.0,Seahawks,Curt Warner 2 yard rush (Norm Johnson kick),14,0
2,2.0,Seahawks,Curt Warner 2 yard rush (Norm Johnson kick),21,0
3,2.0,Chargers,Kellen Winslow 12 yard pass from Ed Luther (Rolf Benirschke kick),21,7
4,3.0,Chargers,Bobby Duckworth 59 yard pass from Dan Fouts (Rolf Benirschke kick),21,14
5,4.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),21,21
6,4.0,Chargers,Andre Young 40 yard interception return (Rolf Benirschke kick),21,28
