,Quarter,Tm,Detail,BAL,WAS
0,1.0,Redskins,Gene Mingo 42 yard field goal,0,3
1,2.0,Colts,Alex Hawkins 22 yard pass from Johnny Unitas (Lou Michaels kick),7,3
2,2.0,Redskins,Bobby Mitchell 16 yard pass from Sonny Jurgensen (Gene Mingo kick),7,10
3,4.0,Redskins,Gene Mingo 35 yard field goal,7,13
4,4.0,Colts,Tom Matte 7 yard rush (Lou Michaels kick),14,13
5,4.0,Colts,Lou Michaels 30 yard field goal,17,13
