,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Leroy Kelly 2 yard rush (Lou Groza kick),7,0
1,2.0,Eagles,Izzy Lang 1 yard pass from Norm Snead (Sam Baker kick),7,7
2,2.0,Browns,Lou Groza 32 yard field goal,10,7
3,3.0,Eagles,Izzy Lang 8 yard rush (Sam Baker kick),10,14
4,4.0,Eagles,Tom Woodeshick 43 yard pass from Norm Snead (Sam Baker kick),10,21
5,4.0,Eagles,Ben Hawkins 60 yard pass from Norm Snead (Sam Baker kick),10,28
6,4.0,Browns,Clifton McNeil 5 yard pass from Gary Lane (Lou Groza kick),17,28
7,4.0,Browns,Clifton McNeil 5 yard pass from Gary Lane (Lou Groza kick),24,28
