,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,John Stallworth 5 yard pass from Terry Bradshaw (Roy Gerela kick),0,7
1,2.0,Steelers,Gerry Mullins 7 yard pass from Terry Bradshaw (Roy Gerela kick),0,14
2,2.0,Steelers,Roy Gerela 26 yard field goal,0,17
3,3.0,Bengals,Horst Muhlmann 32 yard field goal,3,17
4,3.0,Steelers,Reggie Harrison 1 yard rush (Roy Gerela kick),3,24
5,4.0,Steelers,Roy Gerela 42 yard field goal,3,27
