,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,,Chiefs,Donnell Bennett 1 yard rush (Pete Stoyanovich kick),0,7
1,1.0,9:39,Chiefs,Andre Rison 30 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,14
2,1.0,9:39,Chiefs,Pete Stoyanovich 28 yard field goal,0,17
3,2.0,9:39,Chiefs,Pete Stoyanovich 19 yard field goal,0,20
4,3.0,9:39,Chiefs,Pete Stoyanovich 49 yard field goal,0,23
5,3.0,9:39,Raiders,Harvey Williams 2 yard rush (Rickey Dudley pass from Donald Hollas),8,23
6,4.0,9:39,Chiefs,Pete Stoyanovich 33 yard field goal,8,26
7,4.0,9:39,Chiefs,"Safety, Thomas sacked George in end zone",8,28
